,Model,Methodology,Metric,Mean,Std
0,XGBRegressor,trainTest,R2,0.77,0.0
1,XGBRegressor,trainTest,MAE,74.73,0.0
2,XGBRegressor,trainTest,RMSE,115.36,0.0
3,XGBRegressor,trainTest_removed,R2,0.74,0.0
4,XGBRegressor,trainTest_removed,MAE,45.68,0.0
5,XGBRegressor,trainTest_removed,RMSE,70.65,0.0
6,XGBRegressor,randomCV,R2,0.84,0.09
7,XGBRegressor,randomCV,MAE,58.54,10.88
8,XGBRegressor,randomCV,RMSE,81.79,17.6
9,XGBRegressor,randomCV_removed,R2,0.76,0.1
10,XGBRegressor,randomCV_removed,MAE,53.45,7.35
11,XGBRegressor,randomCV_removed,RMSE,77.13,11.63
12,XGBRegressor,groupedCV,R2,0.25,0.43
13,XGBRegressor,groupedCV,MAE,113.48,57.69
14,XGBRegressor,groupedCV,RMSE,151.85,88.01
15,XGBRegressor,groupedCV_removed,R2,0.46,0.26
16,XGBRegressor,groupedCV_removed,MAE,86.47,30.05
17,XGBRegressor,groupedCV_removed,RMSE,104.89,36.45
